regName,regCode,source,is_chemo,is_immuno,is_targeted,is_endocrine,is_supportive,anticancer,hemonc_modalities,class_eau,class_hemonc_mbc,class_any,accepted_uses,status
O-CHOP,19350,hemonc,1,0,1,0,1,1,Chemotherapy; Glucocorticoid therapy; Supportive therapy; Targeted therapy,other,other,other,Follicular lymphoma,carried
O-DHAP,16283,hemonc,1,0,1,0,1,1,Chemotherapy; Glucocorticoid therapy; Supportive therapy; Targeted therapy,other,other,cisplatin,Diffuse large B-cell lymphoma,carried
O-FC,12140,hemonc,1,0,1,0,1,1,Chemotherapy; Supportive therapy; Targeted therapy,other,other,other,Chronic lymphocytic leukemia,carried
O-miniCHOP,16121,hemonc,1,0,1,0,1,1,Chemotherapy; Glucocorticoid therapy; Supportive therapy; Targeted therapy,other,other,other,Diffuse large B-cell lymphoma,carried
Obinutuzumab monotherapy,12076,hemonc,0,0,1,0,1,1,Supportive therapy; Targeted therapy,other,other,other,Chronic lymphocytic leukemia; Diffuse large B-cell lymphoma; Follicular lymphoma; Mantle cell lymphoma,carried
Octreotide and Interferon alfa,28850,hemonc,0,1,0,0,0,1,Endocrine therapy; Immunotherapy,other,other,other,Neuroendocrine tumor; Pancreatic NET,carried
Octreotide LAR monotherapy,28842,hemonc,0,0,0,0,0,0,Endocrine therapy,other,other,other,Neuroendocrine tumor; Pancreatic NET,carried
Octreotide monotherapy,28822,hemonc,0,0,0,0,0,0,Endocrine therapy,other,other,other,Neuroendocrine tumor; Pancreatic NET; Thymoma,carried
OEPA,22992,hemonc,1,0,0,0,1,1,Chemotherapy; Glucocorticoid therapy,other,other,other,Classical Hodgkin lymphoma pediatric,carried
OFAR,12620,hemonc,1,0,1,0,1,1,Chemotherapy; Supportive therapy; Targeted therapy,other,other,other,Chronic lymphocytic leukemia; Transformed lymphoma,carried
Ofatumumab monotherapy,12152,hemonc,0,0,1,0,1,1,Supportive therapy; Targeted therapy,other,other,other,Chronic lymphocytic leukemia; Diffuse large B-cell lymphoma; Follicular lymphoma; Waldenstroem macroglobulinemia,carried
Olaparib and Bevacizumab,13258,hemonc,0,0,1,0,0,1,Targeted therapy,other,other,other,HRD Ovarian cancer; Ovarian cancer,carried
Olaparib monotherapy,8256,hemonc,0,0,1,0,0,1,Targeted therapy,other,other,other,BRCA Breast cancer; BRCA Pancreatic cancer; BRCA Prostate cancer; Breast cancer; HRD Ovarian cancer; Ovarian cancer; Pancreatic cancer; Prostate cancer,carried
OLF,20288,hemonc,1,0,0,0,1,1,Chemotherapy; Supportive therapy,other,other,other,Gastric cancer; Pancreatic cancer,carried
Olutasidenib monotherapy,111360,hemonc,0,0,1,0,0,1,Targeted therapy,other,other,other,Acute myeloid leukemia; IDH Acute myeloid leukemia,carried
Olverembatinib monotherapy,146294,hemonc,0,0,1,0,0,1,Targeted therapy,other,other,other,,carried
Omacetaxine monotherapy,13359,hemonc,1,0,0,0,1,1,Chemotherapy; Supportive therapy,other,other,other,Chronic myeloid leukemia,carried
OPPA,23000,hemonc,1,0,0,0,1,1,Chemotherapy; Glucocorticoid therapy,other,other,other,Classical Hodgkin lymphoma pediatric,carried
Osimertinib monotherapy,10746,hemonc,0,0,1,0,0,1,Targeted therapy,other,other,other,EGFR Non-small cell lung cancer; Non-small cell lung cancer,carried
Ox-P,25006,hemonc,1,0,0,0,1,1,Chemotherapy; Glucocorticoid therapy,other,other,other,Marginal zone lymphoma,carried
OXAFAFU,14855,hemonc,1,0,0,0,0,1,Chemotherapy,other,other,other,Colorectal cancer,carried
Oxaliplatin and Bevacizumab,37490,hemonc,1,0,1,0,0,1,Chemotherapy; Targeted therapy,other,other,other,Testicular cancer,carried
Oxaliplatin and Paclitaxel,124940,hemonc,1,0,0,0,0,1,Chemotherapy,other,other,other,Esophageal squamous cell carcinoma,carried
Oxaliplatin monotherapy,16568,hemonc,1,0,0,0,0,1,Chemotherapy,other,other,other,Diffuse large B-cell lymphoma,carried
"Oxaliplatin, Paclitaxel, Tislelizumab",124943,hemonc,1,1,0,0,0,1,Chemotherapy; Immunotherapy,other,other,other,Esophageal squamous cell carcinoma,carried
P/DOCE,17109,hemonc,1,0,0,0,1,1,Chemotherapy; Glucocorticoid therapy,other,other,other,Diffuse large B-cell lymphoma,carried
PAC-P,120640,hemonc,1,0,0,0,1,1,Chemotherapy; Glucocorticoid therapy; Supportive therapy,other,other,cisplatin,Thymoma,carried
PACEBOM,17116,hemonc,1,0,0,0,1,1,Chemotherapy; Glucocorticoid therapy,other,other,other,Diffuse large B-cell lymphoma,carried
Paclitaxel and Bevacizumab,7894,hemonc,1,0,1,0,0,1,Chemotherapy; Targeted therapy,other,other,other,Breast cancer; Non-small cell lung cancer nonsquamous; Ovarian cancer,carried
Paclitaxel and Fruquitinib,144168,hemonc,1,0,1,0,0,1,Chemotherapy; Targeted therapy,other,other,other,,carried
Paclitaxel and Pazopanib,32266,hemonc,1,0,1,0,0,1,Chemotherapy; Targeted therapy,other,other,other,Ovarian cancer,carried
Paclitaxel and Pembrolizumab,61056,hemonc,1,1,0,0,0,1,Chemotherapy; Immunotherapy,other,other,other,Breast cancer; TNBC Breast cancer,carried
Paclitaxel and Ramucirumab,18506,hemonc,1,0,1,0,0,1,Chemotherapy; Targeted therapy,other,other,other,ERBB2 Gastric cancer; Esophageal adenocarcinoma; Gastric cancer,carried
Paclitaxel and S-1,20289,hemonc,1,0,0,0,1,1,Chemotherapy; Supportive therapy,other,other,other,Gastric cancer,carried
Paclitaxel and Topotecan,11553,hemonc,1,0,0,0,0,1,Chemotherapy,other,other,other,Cervical cancer,carried
Paclitaxel and Trastuzumab (TH),5783,hemonc,1,0,1,0,0,1,Chemotherapy; Targeted therapy,other,other,other,Breast cancer; ER|ERBB2 Breast cancer; ERBB2 Breast cancer,carried
Paclitaxel and Vinorelbine,48914,hemonc,1,0,0,0,0,1,Chemotherapy,other,other,other,Breast cancer,carried
Paclitaxel monotherapy,5706,hemonc,1,0,0,0,1,1,Chemotherapy; Supportive therapy,other,other_recommended,other,Angiosarcoma; BRAF Melanoma; Breast cancer; Cervical cancer; Endometrial cancer; ERBB2 Breast cancer; ERBB2 Gastric cancer; Esophageal adenocarcinoma; Esophageal cancer; Esophageal squamous cell carcinoma; Gastric cancer; Head and neck cancer; HRD Ovarian cancer; Kaposi sarcoma; Low-grade serous ovarian cancer; Melanoma; Non-small cell lung cancer; Ovarian cancer; Penile cancer; PIK3CA Breast cancer; Small cell lung cancer; TNBC Breast cancer; Urothelial carcinoma; Vulvar cancer,carried
"Paclitaxel, nanoparticle albumin-bound and Bevacizumab",7907,hemonc,1,0,1,0,0,1,Chemotherapy; Targeted therapy,other,other,other,Breast cancer,carried
"Paclitaxel, Pertuzumab, Trastuzumab emtansine",48915,hemonc,1,0,1,0,0,1,Antibody-drug conjugate therapy; Chemotherapy; Targeted therapy,other,other,other,Breast cancer; ERBB2 Breast cancer,carried
"Paclitaxel, Topotecan, Bevacizumab",11554,hemonc,1,0,1,0,0,1,Chemotherapy; Targeted therapy,other,other,other,Cervical cancer,carried
Pacritinib monotherapy,92607,hemonc,0,0,1,0,0,1,Targeted therapy,other,other,other,Myelofibrosis,carried
PAD,26268,hemonc,1,0,1,0,1,1,Chemotherapy; Glucocorticoid therapy; Supportive therapy; Targeted therapy,other,other,other,Multiple myeloma,carried
PAD (Pegylated liposomal doxorubicin substituted),72205,hemonc,1,0,1,0,1,1,Chemotherapy; Glucocorticoid therapy; Supportive therapy; Targeted therapy,other,other,other,Multiple myeloma,carried
PAD/VCD,33526,hemonc,1,0,1,0,1,1,Chemotherapy; Glucocorticoid therapy; Targeted therapy,other,other,other,Plasma cell leukemia,carried
PAF,10188,hemonc,1,0,0,0,0,1,Chemotherapy,other,other,other,Breast cancer,carried
Palbociclib and Tamoxifen,61059,hemonc,0,0,1,1,0,1,Endocrine therapy; Targeted therapy,other,other,other,,carried
Panitumumab monotherapy,15275,hemonc,0,0,1,0,0,1,Targeted therapy,other,other,other,Colorectal cancer; Penile cancer; RAS Colorectal cancer,carried
Panobinostat and Rituximab,16587,hemonc,0,0,1,0,0,1,Targeted therapy,other,other,other,Diffuse large B-cell lymphoma,carried
Panobinostat monotherapy,1967,hemonc,0,0,1,0,0,1,Targeted therapy,other,other,other,Acute myeloid leukemia; Classical Hodgkin lymphoma; Diffuse large B-cell lymphoma; Waldenstroem macroglobulinemia,carried
Pazopanib monotherapy,20622,hemonc,0,0,1,0,0,1,Targeted therapy,other,other,other,Angiosarcoma; Clear cell renal cell carcinoma; Desmoid tumor; Gastrointestinal stromal tumor; Ovarian cancer; Renal cell carcinoma; Soft tissue sarcoma; Thyroid cancer differentiated,carried
PCD,27430,hemonc,1,0,1,0,1,1,Chemotherapy; Glucocorticoid therapy; Supportive therapy; Targeted therapy,other,other,other,Multiple myeloma,carried
PCDE,36695,hemonc,1,0,0,0,0,1,Chemotherapy,other,other,cisplatin,Small cell lung cancer,carried
PCE,2610,hemonc,1,0,0,0,1,1,Chemotherapy; Supportive therapy,other,other,carboplatin,Carcinoma of unknown primary; Small cell lung cancer,carried
PCF,17951,hemonc,1,0,0,0,1,1,Chemotherapy; Supportive therapy,other,other,cisplatin,Carcinoma of unknown primary; Esophageal cancer; Head and neck cancer; Penile cancer,carried
PCO,12148,hemonc,1,0,1,0,1,1,Chemotherapy; Supportive therapy; Targeted therapy,other,other,other,Chronic lymphocytic leukemia,carried
PCP,27728,hemonc,1,0,1,0,1,1,Chemotherapy; Glucocorticoid therapy; Supportive therapy; Targeted therapy,other,other,other,Multiple myeloma,carried
PCR,12169,hemonc,1,0,1,0,1,1,Chemotherapy; Supportive therapy; Targeted therapy,other,other,other,Chronic lymphocytic leukemia; Follicular lymphoma; Marginal zone lymphoma; Waldenstroem macroglobulinemia,carried
PCV,3263,hemonc,1,0,0,0,1,1,Chemotherapy; Supportive therapy,other,other,other,Anaplastic glioma; Glioblastoma; Low-grade glioma,carried
PEFG,33129,hemonc,1,0,0,0,0,1,Chemotherapy,other,other,cisplatin,Pancreatic cancer,carried
"Pegaspargase, Vincristine, Dexamethasone",61846,hemonc,1,0,0,0,1,1,Chemotherapy; Glucocorticoid therapy,other,other,other,B-cell acute lymphoblastic leukemia pediatric,carried
Peginterferon alfa-2a monotherapy,18570,hemonc,0,1,0,0,1,1,Immunotherapy; Supportive therapy,other,other,other,Essential thrombocythemia; Hypereosinophilic syndrome; Polycythemia vera,carried
Peginterferon alfa-2b monotherapy,25283,hemonc,0,1,0,0,0,1,Immunotherapy,other,other,other,Melanoma,carried
Pegylated liposomal doxorubicin and Bevacizumab,8189,hemonc,1,0,1,0,0,1,Chemotherapy; Targeted therapy,other,other,other,Breast cancer; Ovarian cancer,carried
Pegylated liposomal doxorubicin and Trabectedin,32164,hemonc,1,0,0,0,0,1,Chemotherapy,other,other,other,Ovarian cancer,carried
Pegylated liposomal doxorubicin monotherapy,7514,hemonc,1,0,0,0,1,1,Chemotherapy; Supportive therapy,other,other,other,Breast cancer; Desmoid tumor; HRD Ovarian cancer; Kaposi sarcoma; Low-grade serous ovarian cancer; Ovarian cancer,carried
Pembrolizumab monotherapy,3199,hemonc,0,1,0,0,0,1,Immunotherapy,pdl1_mono,pdl1_mono,pdl1_mono,Anal cancer; Bladder cancer; Breast cancer; Cervical cancer; Cholangiocarcinoma; Classical Hodgkin lymphoma; Clear cell renal cell carcinoma; Colorectal cancer; Cutaneous squamous cell carcinoma; Endometrial cancer; Esophageal squamous cell carcinoma; Gastric cancer; Head and neck cancer; Hepatocellular carcinoma; High tumor mutation burden malignancy; Melanoma; Merkel cell carcinoma; Mismatch repair deficient malignancy; MSI-H Colorectal cancer; NK- and T-cell lymphoma; Non-clear cell renal cell carcinoma; Non-small cell lung cancer; Primary mediastinal B-cell lymphoma; Small bowel adenocarcinoma; Small cell lung cancer; TNBC Breast cancer; Transformed lymphoma; Urothelial carcinoma; Uveal melanoma,carried
Pemetrexed and Bevacizumab,30051,hemonc,1,0,1,0,1,1,Chemotherapy; Supportive therapy; Targeted therapy,other,other,other,Non-small cell lung cancer; Non-small cell lung cancer nonsquamous,carried
Pemetrexed and Pembrolizumab,29575,atc,,,,0,,1,,other,other,other,,carried
Pemetrexed monotherapy,5720,hemonc,1,0,0,0,1,1,Chemotherapy; Supportive therapy,other,other_recommended,other,ALK Non-small cell lung cancer; Breast cancer; Cervical cancer; Malignant pleural mesothelioma; Non-small cell lung cancer; Non-small cell lung cancer nonsquamous; Ovarian cancer; Urothelial carcinoma,carried
Pemigatinib monotherapy,13367,hemonc,0,0,1,0,0,1,Targeted therapy,other,other,other,Cholangiocarcinoma,carried
PEN,17123,hemonc,1,0,0,0,1,1,Chemotherapy; Glucocorticoid therapy,other,other,other,Diffuse large B-cell lymphoma,carried
Penpulimab monotherapy,113976,hemonc,0,1,0,0,0,1,Immunotherapy,other,other,other,Classical Hodgkin lymphoma,carried
Pentostatin monotherapy,5126,hemonc,1,0,0,0,1,1,Chemotherapy; Supportive therapy,other,other,other,B-cell acute lymphoblastic leukemia; Hairy cell leukemia,carried
Pertuzumab and T-DM1,9585,hemonc,0,0,1,0,0,1,Antibody-drug conjugate therapy; Targeted therapy,other,other,other,Breast cancer; ERBB2 Breast cancer,carried
Pertuzumab and Trastuzumab,9691,hemonc,0,0,1,0,0,1,Targeted therapy,other,other,other,Breast cancer; Colorectal cancer; ERBB2 Breast cancer; ERBB2 Colorectal cancer; Malignant solid neoplasm ERBB2-mutated,carried
Pertuzumab and Trastuzumab hyaluronidase monotherapy,120663,hemonc,0,0,1,0,0,1,Targeted therapy,other,other,other,Breast cancer; ERBB2 Breast cancer,carried
PET,6085,hemonc,1,0,0,0,0,1,Chemotherapy,other,other,cisplatin,Breast cancer,carried
